MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,10/21/2023 17:29:03,1.17.0,Bandit,21,4.18,nan,15,10,40,Left,Right,1,0,0.1,0.2,nan.1,nan.2,0.11
10/10/2023 14:09:32,1.17.0,Bandit,21.0,3.83,,15.0,10.0,40.0,Right,Right,0.0,1.0,0.0,0.0,,,0.47,,,,,,,,,,,,,,,,,,
10/10/2023 14:09:39,1.17.0,Bandit,21.0,3.84,,15.0,10.0,40.0,LeftDuringDispense,Right,0.0,1.0,0.0,0.0,,,0.13,,,,,,,,,,,,,,,,,,
10/10/2023 14:09:47,1.17.0,Bandit,21.0,3.84,8.0,15.0,10.0,40.0,Pellet,Right,0.0,1.0,1.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:09:53,1.17.0,Bandit,21.0,3.84,,15.0,10.0,40.0,Left,Right,1.0,1.0,1.0,1.0,,,0.2,,,,,,,,,,,,,,,,,,
10/10/2023 14:10:51,1.17.0,Bandit,21.0,3.84,,15.0,10.0,40.0,Left,Right,2.0,1.0,1.0,1.0,,,0.03,,,,,,,,,,,,,,,,,,
10/10/2023 14:11:33,1.17.0,Bandit,21.0,3.84,,15.0,10.0,40.0,Right,Right,2.0,2.0,1.0,1.0,,,0.08,,,,,,,,,,,,,,,,,,
10/10/2023 14:12:02,1.17.0,Bandit,21.0,3.84,,15.0,10.0,40.0,Left,Right,3.0,2.0,1.0,1.0,,,0.23,,,,,,,,,,,,,,,,,,
10/10/2023 14:12:50,1.17.0,Bandit,21.0,3.83,,15.0,10.0,40.0,Right,Right,3.0,3.0,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,
10/10/2023 14:20:09,1.17.0,Bandit,21.0,3.83,,15.0,10.0,40.0,Left,Right,4.0,3.0,1.0,1.0,,,0.14,,,,,,,,,,,,,,,,,,
10/10/2023 14:20:12,1.17.0,Bandit,21.0,3.83,2.0,15.0,10.0,40.0,Pellet,Right,4.0,3.0,2.0,1.0,0.06,624.0,,,,,,,,,,,,,,,,,,,
